TumorSen,TumorSpec,WallSen,WallSpec
nan,1.0,0.9037774205207825,0.9991983771324158
0.998976469039917,0.9960727095603943,0.0,1.0
nan,1.0,0.9134283661842346,0.9952704310417175
nan,1.0,0.946835458278656,0.9987027049064636
nan,1.0,0.9475340843200684,0.9977504014968872
0.8827708959579468,0.9994903802871704,0.8995434045791626,0.9964706897735596
0.0,1.0,0.7664573192596436,0.9893144965171814
nan,0.9961737990379333,0.8144916296005249,0.9954808354377747
nan,1.0,0.6925897598266602,0.9996263980865479
0.9411640167236328,0.9967912435531616,0.902053713798523,0.9974592328071594
nan,1.0,0.9696820378303528,0.9973822236061096
nan,1.0,0.925485372543335,0.9898138642311096
0.9683840870857239,0.9977983236312866,0.9831048250198364,0.9981651902198792
nan,1.0,0.9797143936157227,0.9962419271469116
nan,1.0,0.9898028373718262,0.9997533559799194
nan,1.0,0.8264925479888916,0.9908685088157654
0.9506667852401733,0.9931098222732544,0.5890339612960815,0.9998578429222107
0.668653130531311,0.9992820620536804,0.8354806900024414,0.9974644780158997
nan,0.9975013732910156,0.8474962115287781,0.9962596297264099
nan,1.0,0.9426630139350891,0.9964099526405334
nan,0.995884120464325,0.8221445083618164,0.9927282929420471
0.9141672849655151,0.999345064163208,0.9949530363082886,0.9965210556983948
nan,1.0,0.6508995294570923,0.9821367859840393
nan,1.0,0.9682871103286743,0.9985596537590027
0.9715174436569214,0.9936167001724243,nan,1.0
0.23818181455135345,1.0,0.8837249875068665,0.9951685070991516
nan,1.0,0.8665791749954224,0.9964705109596252
nan,1.0,0.9045426845550537,0.9961984157562256
nan,1.0,0.8850308656692505,0.996651828289032
nan,1.0,0.8575868606567383,0.9795982837677002
nan,1.0,0.9405708909034729,0.9992716908454895
0.0,1.0,0.819814145565033,0.9645345211029053
nan,0.9889945983886719,0.8038018941879272,0.9967425465583801
nan,1.0,0.938160240650177,0.9943883419036865
0.9681586623191833,0.9970309734344482,0.6634122729301453,0.9953770041465759
0.0,1.0,0.9089506268501282,0.9968101382255554
0.9845587015151978,0.9982427954673767,nan,1.0
0.9836674928665161,0.9938780069351196,0.6045336723327637,0.9901970624923706
